T5.K4.652.A98542 K6.QJT976.QT7.Q6 432.A.AKJ93.JT73 AQJ987.8532.84.K:65658888888843433232
KT3.QJT8762.Q6.5 AQ954.3.J54.AT64 872.A5.AK87.QJ72 J6.K94.T932.K983:88889787545488888888
QJT.87.AT953.Q93 K864.952.Q86.K74 A3.K643.KJ7.AJ52 9752.AQJT.42.T86:33336666555433333333
QT874.J5.874.Q97 A953.A63.KQT9.JT KJ.KQT.A532.A543 62.98742.J6.K862:66665555878766666666
A7543.54.KQ5.AJ2 KJT.AKQ82.T7.K43 Q98.73.AJ932.T76 62.JT96.864.Q985:66664343888843437777
KQ98.Q42.JT2.KQT A.AJT965.Q63.986 T76543.K3.85.J42 J2.87.AK974.A753:C8C86565CACACACAA9A9
AQT7.KQ75.854.K6 853.AT63.AQ93.Q4 42.84.J7.AJT8532 KJ96.J92.KT62.97:53546666767677773233
KQJ5.T9632.KT.87 AT6.Q.A9863.AQ95 98.AKJ8754.5.T42 7432..QJ742.KJ63:A6A698984444BBBBBBBB
AKT82.K.J7.AKQ94 964.T752.QT93.53 Q.AJ863.A62.T862 J753.Q94.K854.J7:21211111212144440000
J5.KQ97.J9.AK743 QT986.864.AQ72.9 42.AJT52.K5.QT85 AK73.3.T8643.J62:6363AAAA3232AAAA3232
85.AJ963.K973.K6 T63.KQ.J6.AQJ873 KQJ9742.2.AQ54.5 A.T8754.T82.T942:8787222266663232A9A9
53.Q94.K875.9753 Q86.AT852.Q.AKQJ AJ72.J3.AT92.T64 KT94.K76.J643.82:8888A9A9AAAA77778888
32.J9732.T8.J972 A9.KQ84.K964.854 8654.A5.Q52.AT63 KQJT7.T6.AJ73.KQ:BABABBBB9999CBCB8888
K98543.96.Q73.Q9 AT62.Q8742.K42.4 QJ.KJT5.A8.AK632 7.A3.JT965.JT875:55545444767688876665
QT6.AQT8.AQ975.K AK75.43.KT8.9643 8432.K52.64.QJ85 J9.J976.J32.AT72:55555555555566667676
J642.6.T8652.T43 95.KQ94..KQ98752 KQ3.JT8752.KQ7.6 AT87.A3.AJ943.AJ:DDDDA9A998988787DDDD
632.A843.642.J87 J87.QT652.T75.43 AKT5.KJ9.983.K95 Q94.7.AKQJ.AQT62:77777686777788988888
742.A85.J943.K54 Q6.T72.K872.Q983 AKJ95.J43.QT6.A7 T83.KQ96.A5.JT62:55554444666654548888
J8.T43.AKQ.AK965 97.A9752.9842.J4 KQ65.QJ6.T7.QT73 AT432.K8.J653.82:33335555555577774343
64.AJ.6532.AQT42 AKQJ98.Q3.T4.KJ9 75.K8642.AKJ9.75 T32.T975.Q87.863:87878888666644445555
Q7.86.A8742.9652 T542.T4.QJT.QJ87 AJ98.AQ973.K53.4 K63.KJ52.96.AKT3:77777676555544448787
QJ2.QT6.9743.Q64 T54.J9743.AQ.AJ5 AK86.A.KJT65.K73 973.K852.82.T982:33333333666622225555
KT82.A7.62.KT863 J53.KT864.943.75 Q976.2.KJ85.QJ94 A4.QJ953.AQT7.A2:A8A84444BABA88884444
9.93.Q65.AKJT752 AQ7432.T62.KJT.9 KJT865.8.432.Q86 .AKQJ754.A987.43:C6C68888DCDCDCDC5555
964.KT83.Q5.QT72 A872.A96.K943.95 QJT53.QJ75.A8.K8 K.42.JT762.AJ643:888855556565BABA9898
AKQT9.AK54..AT52 J75.Q93.AT9864.J 84.J86.K75.K9763 632.T72.QJ32.Q84:11111111211155550000
QJ64.K864.K6.Q65 T832.T2.AQT5.A98 AK97.AQ7.942.J32 5.J953.J873.KT74:66665555666699998888
64.94.KJT975.J92 87.KJT82.AQ.AQ74 K532.AQ765.643.8 AQJT9.3.82.KT653:BBBBBBBBAAAA6666CCCC
KJ.JT6.K8.KQ8763 T92.AKQ542.3.J42 AQ8653.9.AQJ942. 74.873.T765.AT95:71711111777711117676
753.5.J763.J9643 KJ98.K.AQT.AT752 2.AJT9864.K842.8 AQT64.Q732.95.KQ:BBBBCCCC77756666AAAA
KT3.QJ.JT8654.63 J9862.976.AQ.874 754.T842.K9.AQJT AQ.AK53.732.K952:66668888778765657777
K8.3.Q432.AKQ943 T74.J976.JT76.85 A9632.Q4.K.JT762 QJ5.AKT852.A985.:75754343A9A998982121
AJ96.A.Q8742.AK3 7.KJ9762.JT6.987 KQT832.Q8.A53.Q6 54.T543.K9.JT542:21211111767621216666
K87.K876543.KJ4. Q52.92.A63.AT843 JT3.AQ.872.KQJ52 A964.JT.QT95.976:54447666333366666566
74.Q4.AK973.A762 AKJ9.K65.QJ852.J 53.AJ73.T.KQT954 QT862.T982.64.83:53538787545455552121
A53.QT98.AQ8.K95 JT962.J7.T932.64 KQ.AK6432.K65.82 874.5.J74.AQJT73:11114444111122225555
J765.Q63.A2.AKT4 T2.AKJT942.T.QJ6 9..KJ9753.987532 AKQ843.875.Q864.:B9B9BABADCDC33332222
K.732.K642.AKJ72 A65.Q5.AT87.QT98 QJT2.T4.J953.543 98743.AKJ986.Q.6:88889999A9A955557676
3.AQJ54.AQ54.432 AJ9852.K982.T.J5 KQ76.63.J9632.87 T4.T7.K87.AKQT96:97988888767654559999
74.QJT632.QT.A96 Q3.754.9543.KQ83 AKT.A9.8762.J754 J98652.K8.AKJ.T2:75758898555587876676
AT64.J843.QT9.84 K.K752.J76.KT763 J8.96.A842.AQ952 Q97532.AQT.K53.J:66667777878766666666
K8.J952.J8765.Q5 T92.AK.KQT43.872 Q6.QT43.A2.AKJT9 AJ7543.876.9.643:66668888444466665454
T974.53.32.QT943 K86532.A6.AKT.87 AJ.KT97.QJ5.AK52 Q.QJ842.98764.J6:44446666778788884444
8752.9754.KQ96.K QT64.K62.52.6543 KJ.AQJT.AJ843.82 A93.83.T7.AQJT97:74747676222222228888
AJ3.K982.A3.QT65 T84.QT753.Q9.432 KQ2.AJ6.KJ84.J97 9765.4.T7652.AK8:22223333434344442222
AK964.A763.A5.KT Q.K954.974.J8742 JT82.QT8.QJ83.95 753.J2.KT62.AQ63:43432222333365658888
KQ83.6543.QT.QJ9 AT76.9.A98732.K6 9.AKQT8.6.AT7543 J542.J72.KJ54.82:76728777333199993332
AT6.J432.J984.54 Q832.Q85.KQ2.KJ8 K5.AKT7.65.T9632 J974.96.AT73.AQ7:77779898555587876666
AQ4.T852.AJT92.A J.AKQ.653.KJT986 T65.J43.K87.Q732 K98732.976.Q4.54:44447777444444447777
Q65.AKJ85.A652.7 AT87.6.KQ94.KQ32 943.T9432.J83.86 KJ2.Q7.T7.AJT954:A7A7BBBB66668888BBBB
42.T76432.Q632.A Q83.Q95.T5.KJ732 AJ65.J8.J984.T98 KT97.AK.AK7.Q654:B9B9BABA66668686BBBB
T984.Q3.T3.T9874 J.KJT986.K9862.2 Q7632.74.J5.AQJ6 AK5.A52.AQ74.K53:DCDC7777DCDCDCDC8787
KQ43.AT643.A6.82 AT8.82.J9842.AK4 972.KQ9.KQ3.JT75 J65.J75.T75.Q963:44444444333377776565
K74.KT92.A7.QJ74 JT2.Q8.KQJT92.T2 86.AJ7643.43.K98 AQ953.5.865.A653:63639999323299994343
743.9863.K62.J84 AQJ6.AK54.QJ9.K6 9852.T72.853.Q92 KT.QJ.AT74.AT753:CCCCCCCCCCCCCCCCCBCC
AT7.96.Q984.KT32 K82.QT53.KT653.9 QJ3.J842.AJ2.854 9654.AK7.7.AQJ76:76779999888887778888
KQ42.T73.Q65.K62 AJT9.J94.9832.75 865.AQ852.A74.83 73.K6.KJT.AQJT94:76766676555588888888
875.KQT653.K7.J8 AKT.J84.Q3.AKT73 Q93.A7.AT9654.Q6 J642.92.J82.9542:75758888444454549797
QJ72.54.AJ52.T43 T964.962.QT7.J72 83.J8.K643.AQ965 AK5.AKQT73.98.K8:99998787A9A966665555
J4.QT4.KQT6.J642 K872.AK8.A832.97 A63.J952.J97.A83 QT95.763.54.KQT5:88889999777777777787
8762.K3.J.T87543 T54.AJ975.A762.9 Q.864.KQT984.KQJ AKJ93.QT2.53.A62:CCCCDDDDCCCC88886565
A62.Q63.T76.KT52 KQT8.K42.A3.J863 53.T987.KJ84.AQ9 J974.AJ5.Q952.74:76779898666676767676
QJT5.JT2.QJ.A986 A.Q98643.863.JT3 9863..AKT75.Q742 K742.AK75.942.K5:87874343A9A955554444
KJ8.T632.Q2.K976 A97.8.A973.QJT85 T654.AQJ.KT85.A4 Q32.K9754.J64.32:65554444545465665555
97.AKJ654.J853.J K862.Q972.A.AQ85 JT43.3.T92.T9642 AQ5.T8.KQ764.K73:AAAAAAAA8888A9A9AAAA
AKQT9752.A5.Q9.2 J3.KT432.A8653.9 86.9876.K7.KJT65 4.QJ.JT42.AQ8743:434333338888AAAA8888
Q98.KT9.AT843.KQ K7654.AQ863.Q.A2 AJT3..J52.J87654 2.J7542.K976.T93:53535454999943433232
AQ75.T97.AK5.986 K3.AKQ64.874.A42 J2.82.T9632.KJ73 T9864.J53.QJ.QT5:76767777989855556666
72.QJ9875.A4.QJ9 JT96.K3.K75.8532 AQ43.AT.QJ62.K76 K85.642.T983.AT4:22325454223243435454
J743.Q98.J74.AJ6 AQT8.T72.T852.K8 K962.AK3.A963.95 5.J654.KQ.QT7432:55554444767655558888
KJ65.JT73.32.K84 AQT84.A52.QT7.52 973.Q984.K8.AQT3 2.K6.AJ9654.J976:AAAA99998787BBBB8888
QJ4.A843.754.KJ4 AK98.KJ2.Q832.A3 T76532.T976..Q92 .Q5.AKJT96.T8765:BABA76767776CBCBA9A8
T5.JT965.T952.AK AKQ7.A8.864.JT75 J8432.K3.AKJ7.84 96.Q742.Q3.Q9632:65655555545444449898
954.A5.964.AK942 762.K43.KQ752.76 T.J72.AT8.QJT853 AKQJ83.QT986.J3.:6565BBBBBABA87874444
T9872.KQ32.A.AK3 AJ3.AJ95.94.QJT5 KQ65..QT7653.984 4.T8764.KJ82.762:55554242999944446565
KJ82.AKQ5.972.Q8 A97.T.AT64.AT742 QT63.J874.QJ5.KJ 54.9632.K83.9653:75755454555587879999
A643.KQ9.9652.76 Q.AJ765.KQ.KT853 JT2.T83.AT.AQJ92 K9875.42.J8743.4:55557776666677775554
AK963..T754.JT93 J8742.A2.AKJ96.7 5.K843.Q832.KQ84 QT.QJT9765..A652:96968686BABA66665455
KQ83.Q4.J75.AQT5 T.T653.Q863.J632 J9742.J872.T94.7 A65.AK9.AK2.K984:8787656699999999AAAA
987542.93.JT9.T7 AT6.A85.532.K965 J3.KT76.AKQ64.A4 KQ.QJ42.87.QJ832:76765555878754549898
K76532.KQ65.3.92 QJT8.AJ97.KQ7.KJ 4.2.AT9864.AQT74 A9.T843.J52.8653:76765555767655544444
AT875.9632.T9.KJ 2.KQJ85.A76.9872 J9.74.K52.AQT654 KQ643.AT.QJ843.3:666677778888AAAA5454
J4.T874.J6.KQ654 K52.Q96.98753.A3 AT96.AJ2.KT2.872 Q873.K53.AQ4.JT9:77767777777699986666
K6.AQJ872.J84.K6 Q987.T3.AKQT.543 AT42..976532.T72 J53.K9654..AQJ98:77867787667655657695
8754.A5.AKT7.AK7 Q.Q642.Q83.QJ532 .KJ873.J9642.T84 AKJT9632.T9.5.96:86868888322211113333
AQ97.AJ4.T5.AQ92 8642.T875.A3.KJ6 KJ53.Q2.KJ76.875 T.K963.Q9842.T43:44543333767666664344
KT9.A8653.9432.3 Q32.4.KT6.AKJT75 A8765.JT7.J5.Q98 J4.KQ92.AQ87.642:98986666777788889999
QT84.5.J762.AJT7 A53.Q.AK943.Q954 976.AJT632.Q85.8 KJ2.K9874.T.K632:7777777777778788AAAA
92.AJ754.QT5432. AT765.K3.A.T8742 43.Q9862.986.AQ6 KQJ8.T.KJ7.KJ953:B8B8BABB54555555BBBB
K2.KJ65.A73.A743 96543.Q92.K84.Q9 AQJT.T43.J2.J862 87.A87.QT965.KT5:66666666555588885454
9754.8.7643.K932 6.AKT43.AQ5.AJT6 K83.9762.J982.Q8 AQJT2.QJ5.KT.754:CCCCCBCBDDDDAAA9BBBB
QT94.QT.T765.Q54 AK7.K87654.A83.9 6.A2.KQJ9.AKJT87 J8532.J93.42.632:33336666888822223333
AJ863.85.Q92.QT6 954.KQJ642.AJ.A8 T7.973.KT53.J742 KQ2.AT.8764.K953:AAAA8788AAAA88888888
J43.T.AKT953.A82 K85.AK93.42.QJ73 A2.QJ854.Q86.965 QT976.762.J7.KT4:55559797666643439797
T974.A7.AJ964.82 AK6.Q9432.K5.AK4 853.JT65.T82.765 QJ2.K8.Q73.QJT93:BBBBAAAAAAAA8888BBBB
QJ765.K52.T6.984 AKT83.T84.A.AQT6 .QJ963.KQ732.KJ3 942.A7.J9854.752:76669999555566659898
KJ9.T876.Q.KQJT8 87.AQJ54.T982.72 53.K3.AK743.A943 AQT642.92.J65.65:42425555555533332121
A94.AT54.KJ4.J32 KJ7.Q832.AQ63.A5 Q862.K7.T.KQT976 T53.J96.98752.84:53433333655577773333
7432.AKQ92.86.92 986.86.AKT5.AQT3 J.JT75.QJ942.K54 AKQT5.43.73.J876:8888AAAA44447575A9A9
K9863.KT63.Q.Q94 T.Q8.KT985.AKJ63 AQJ54.9752.764.T 72.AJ4.AJ32.8752:B8B844445555BBBBBBBB
Q65.62.A64.96432 K972.K8.KJ92.AT5 A4.QJT975.T.KQJ7 JT83.A43.Q8753.8:7777AAAA6565BBBB5454
K872.A8.K8742.32 9..AT963.AKJ9875 AQJT5.Q74.5.QT64 643.KJT96532.QJ.:65554444989887879999
A643.A73.K7.9864 Q975.KQT.QJ5.KQ2 KT82.5.96432.T53 J.J98642.AT8.AJ7:97976466AAAA76777676
.T653.KT652.QT97 K65.AQ84.7.AJ632 QJT9742.K7.Q43.5 A83.J92.AJ98.K84:AAAA8787AAAA8687AAAA
AT.QT542.A.Q9643 K874.987.KQ932.8 Q9652.K.JT875.J5 J3.AJ63.64.AKT72:77776666878777777777
T9532.J73.AT98.K 864.AT9.42.T9653 KQ7.KQ52.KQ53.J7 AJ.864.J76.AQ842:77773333444433338888
AJ98.9.8.AQT8543 KQ6.AT54.AQT2.97 T32.KQJ83.KJ65.K 754.762.9743.J62:43334444444355554333
QJ.96.KT754.T865 53.754.AJ86.KQ92 KT764.AKT8.92.A4 A982.QJ32.Q3.J73:66666666767677777777
JT87.A75.42.A864 A963.KT82.T96.T7 K5.Q96.KQJ87.Q52 Q42.J43.A53.KJ93:65657676767655556666
954.95.KQ9862.T8 K86.QJ2.AJ.KJ543 AJ.KT4.543.AQ976 QT732.A8763.T7.2:74749999999944446666
QT86.KQ986.J4.KQ 943.T.AK765.JT52 A52.J5432.T2.A73 KJ7.A7.Q983.9864:76765555434388888888
8.AK87.KT.AKT954 A9752.54.J9.Q762 QJT6.Q2.AQ763.83 K43.JT963.8542.J:33335555444433332222
JT7.6.AJT5.A9874 AKQ964.98.K642.K 52.JT543.Q97.QJ6 83.AKQ72.83.T532:9999BABA999977776666
QJ8.KQJ654.Q92.J T953.9.J763.9854 K762.T83.A85.K73 A4.A72.KT4.AQT62:7676666644448788AAAA
KJ9.T64.A6543.A5 52.AK87.K9.K9872 AQT8743.Q53.T.J6 6.J92.QJ872.QT43:44443333888887879999
A52.A84.42.AQ852 KT98.73.AT93.T64 Q7643.JT62.J6.K3 J.KQ95.KQ875.J97:66665454656588885555
KQJ876.K752.9.92 4.AJT.Q532.AK543 T932.Q863.KT86.7 A5.94.AJ74.QJT86:A9A955555555BBBBBBBB
K8652.J.T753.Q84 Q943.A93.8642.A6 J.876.AKQJ9.K975 AT7.KQT542..JT32:88888787BBBB43436566
84.J65.K7.AK9872 AQT76.K2.A954.64 32.Q94.JT863.J53 KJ95.AT873.Q2.QT:8787CACAA9AA77776565
KJ942.AT53.42.A3 A7.K8742.KJT3.K2 Q85.Q6.975.J9754 T63.J9.AQ86.QT86:777755559898AAAA8888
AKJ763.J62.742.5 T542.Q.65.KQJT93 9.T843.KQJT98.62 Q8.AK975.A3.A874:AAAA7676A9A95555BBBB
AJ9543.K2.KT7.Q9 KQT7.Q763.A3.J74 62.T8.Q854.T8652 8.AJ954.J962.AK3:99997777AAAA88887777
A84.QT6.AQJ.9852 JT976.AKJ5.52.QT K3.97.K9873.7643 Q52.8432.T64.AKJ:7676A9A9989855555555
J763.KT53.96.K75 2.AJ6.AJT532.A83 A9854.7.Q84.JT96 KQT.Q9842.K7.Q42:BABA6666BABABABA8898
93.K65.AJ98.KT32 .AQJT43.53.Q9874 KJ74.92.KQT742.6 AQT8652.87.6.AJ5:86669899A9995454BAAA
K52.A82.A753.Q63 863.54.Q942.9754 AQT.QT73.K86.AJT J974.KJ96.JT.K82:44444444444444544454
T8652.Q65.J3.JT7 4.JT82.T9874.KQ8 AKJ9.A93.Q2.A543 Q73.K74.AK65.962:87876666888899996666
T974.A86.T98.A62 AJ.KQJT53.42.853 K83.972.QJ7.KJ94 Q652.4.AK653.QT7:97978787999988878787
KT6.Q8.9864.KQ82 Q7.T7652.T2.A743 A8432.J943.AQ5.5 J95.AK.KJ73.JT96:66665555777766668888
Q52.J42.J432.AQ3 96.K73.T9.KJ8642 J87.QT865.AKQ6.5 AKT43.A9.875.T97:8888878755556464AAAA
J874.54.T9852.K5 QT652.QJ.KJ.JT96 93.KT762.Q76.872 AK.A983.A43.AQ43:BBBABBBBAAAA9999CCCC
98743.AJ.842.T43 AKQ6.753.KT6.KJ5 J52.KQT94.A3.A72 T.862.QJ975.Q986:666665656666A8A88787
A52.K52.K92.QT86 K97.T863.AQ764.A J8.J4.JT.KJ75432 QT643.AQ97.853.9:8686A9AAAAAAAAAA5555
T75.QT5.9732.643 AQ8.AKJ7.A4.QT98 KJ963.432.KQT5.5 42.986.J86.AKJ72:CCCB8888CCCC8888CCCC
8.Q975.A94.A8632 76.82.QT752.QJ75 KQT532.AKT4.J.T9 AJ94.J63.K863.K4:66664444333388885454
75.KJ75.9872.Q85 KQJ4.A32.K.AKJ93 A982.Q98.Q653.72 T63.T64.AJT4.T64:A9A9A9A998888888AAAA
AT9765.J82.K42.3 Q2.AQ5.J65.AJ864 K8.KT764.T8.KT95 J43.93.AQ973.Q72:66764444444487877777
AT975.T2.KJT8.98 Q4.AJ95.Q754.764 K86.K764.632.A53 J32.Q83.A9.KQJT2:77775555777766668888
Q653.Q42.KQ.JT32 AJ8.KT96.A54.Q86 KT74.A3.9832.A75 92.J875.JT76.K94:77775555888887776666
7654.2.K73.KJ865 QJ3.KT87.Q864.Q9 KT982.A9.T52.A74 A.QJ6543.AJ9.T32:76764444999988884444
Q32.KT.AT.KQT875 A9.952.J975.A943 J854.AQ87.K432.6 KT76.J643.Q86.J2:54545454555555554344
Q94.QJ84..T87543 J.KT2.KT97432.96 A32.975.AQ8.AKJ2 KT8765.A63.J65.Q:33337677545499993333
AJ93.K9742.63.87 Q7.83.T742.K6532 542.J.KQJ985.AQ9 KT86.AQT65.A.JT4:43435555767743438777
.JT.AQ983.AK9862 QJT642.KQ7.JT7.T AK8.A864.6542.J3 9753.9532.K.Q754:21218787444411111111
J52.AQJ.T8.QJ542 K.KT87.KQ752.T63 QT83.64.96.AK987 A9764.9532.AJ43.:77778888BBBBBBBB6565
Q98.K754.T4.K643 A7652.QT6.J83.75 T3.J983.AKQ76.QJ KJ4.A2.952.AT982:66667777555555557777
64.AJ76.743.Q842 QT.843.Q65.KJ973 AK87.Q92.82.AT65 J9532.KT5.AKJT9.:77767777656588885555
AJ85.T4.9654.AQ5 KQ6.J95.JT832.K3 T2.62.AKQ7.J9876 9743.AKQ873..T42:87878888BBBB66666575
Q9.Q95.K6543.QJ6 J6.KJT432.A98.T3 T53.A87.Q7.AK954 AK8742.6.JT2.872:65658777878765655454
J862.Q974.J7.Q73 QT74.A65.AK52.86 953.KJT.T843.542 AK.832.Q96.AKJT9:BABABABAAAAABBBBBBBB
AJ97.J94.K7.K862 654.753.32.AQT73 KQ3.K862.8654.94 T82.AQT.AQJT9.J5:88887676777798988888
6.KJ32.QJT98.AKQ 73.Q8765.A5.7532 KQ952.AT9.K43.J6 AJT84.4.762.T984:32325555434332326565
Q7643.J7.Q75.Q73 AJ9.943.AK8.J842 K8.KQT862..AT965 T52.A5.JT96432.K:A58566663333BABA4444
Q.9.QT97653.JT93 AKJ97532.J72.4.K 84.AKQ54.K2.Q874 T6.T863.AJ8.A652:BABABABA868643434444
97.43.Q97.AJ8432 JT54.AJT7.A4.KQ6 AK863.95.8652.T7 Q2.KQ862.KJT3.95:AAAA8888AAAA99997777
AQT543.AQ8.KJ7.T K87.JT97.86.J863 6.K6.Q9532.KQ952 J92.5432.AT4.A74:33334343555522223333
K983.QJ96.K2.T97 652.3.T83.KJ8432 JT74.AKT.AJ95.A5 AQ.87542.Q764.Q6:22223131333332336666
K8.QJT9732.J43.8 Q62.AK8.972.JT65 A93.64.AQT65.Q42 JT754.5.K8.AK973:8787A9A944444454A9A9
Q.T96542.96.9742 AT9852.AKQ.QJ7.K J64.J3.AT42.Q865 K73.87.K853.AJT3:CCCCCCCC9999CBCBA9A9
K93.AJT.Q986.532 84.Q754.52.QJ864 AQ765.K9862.KT.T JT2.3.AJ743.AK97:63632222323266668888
K92.J76.984.7652 J863.5.AJT752.T8 75.AQ9842.K6.943 AQT4.KT3.Q3.AKQJ:A7A7BABA6666BBBBAAAA
654.QT98654.8.92 AKQJ832.KJ.A97.Q T97.32.KJ53.T753 .A7.QT642.AKJ864:DDDDDDDD9999CCCCDDDD
QJ8.JT9632.QT76. T9754.Q5.A5.K873 AK62.A74.94.Q965 3.K8.KJ832.AJT42:8888777733339899AAAA
Q982.T43.QJ2.KQT A53.9.AKT9875.A2 K.QJ72.43.J87654 JT764.AK865.6.93:A7A7BBBBB8B8BBBB7777
9752.KQT9.5.JT97 K.8652.Q743.AQ63 AJT83.7.AJT92.52 Q64.AJ43.K86.K84:66664444888877777777
T75.J9876.KJ6.T3 J92.QT4.AQT.8754 AKQ863.A2.9.KJ62 4.K53.875432.AQ9:866644448787AAAA8777
JT654.52.965.T53 A73.T94.AQT.J942 Q82.AKQJ.K43.Q76 K9.8763.J872.AK8:77776666878788888888
AJT6.AT97.J6.A87 83.K5.Q752.KT962 KQ2.8642.K843.QJ 9754.QJ3.AT9.543:55554444444466667777
Q93.Q2.Q97542.96 K64.KJT75.K.T854 J8752.A943.J.J73 AT.86.AT863.AKQ2:BABB9999BBBBAAAACCCC
AT98.93.T5.AK875 K.QJ.Q9876.J9632 2.KT7652.AKJ3.T4 QJ76543.A84.42.Q:53537777323255554444
K74.KQJ87.KQ4.53 92.9.JT853.KQ842 AQT53.T3.A9762.T J86.A6542..AJ976:6565526244544444AAAA
AT762.K986.986.K J84.AT.AKQJ4.865 Q953.754.T32.742 K.QJ32.75.AQJT93:D8D876769999DCDCDCDC
943.KQ.KQT94.972 Q82.T87652.2.A53 T75.943.A765.JT8 AKJ6.AJ.J83.KQ64:9898BBBBBBBB7777BBBB
K9764.9.AT3.T986 J8.AKT42.8654.AQ AT2.Q85.KQJ72.52 Q53.J763.9.KJ743:55554444999944448787
AT.JT93.QJ9.KT86 QJ653.K8.A754.95 K987.Q6.KT832.A4 42.A7542.6.QJ732:44446565656533336666
75.J3.T6.AQ98742 AJT984.K752.Q.K5 Q6.AQT4.K9852.J6 K32.986.AJ743.T3:98989898878776765454
A2.QJ72.AQ2.T652 KT.AKT.J743.KQ97 QJ7653.4.K965.A4 984.98653.T8.J83:63633333878753536666
K843.KQJ32.65.J9 J2.7.AJ9873.K765 T9765.64.KT.8432 AQ.AT985.Q42.AQT:B8BB76778787CBCCBABA
AK3.K5.J852.KJ96 Q8765.6.AKQ4.A83 94.A8743.T76.Q72 JT2.QJT92.93.T54:66668787777755556565
AK64..Q7542.K852 972.KJ9754.AKT.T T85.63.J8.AQJ964 QJ3.AQT82.963.73:85854444999962622222
73.KQT4.QT8543.T 952.AJ95..AJ9832 AKT86.7632.A7.K4 QJ4.8.KJ962.Q765:7777757544445555A9A9
T43.QT94.QJ8.A54 QJ65.6.KT95.K932 A7.AK8752.A3.876 K982.J3.7642.QJT:33337777333387876666
T8.JT63.86.KJT42 J72.A95.543.A987 AK954.K.AKJ72.63 Q63.Q8742.QT9.Q5:55553333555533334444
T875.954.852.AK3 AJ9.J873.AKQT9.8 K.AK6.J7643.T654 Q6432.QT2..QJ972:9898A9A9999988888787
AT97.KJ5.T97.AQ6 852.AT9632.Q32.2 Q63.Q87.A54.KJ93 KJ4.4.KJ86.T8754:54545454777765655555
7652.KQ64.J64.K9 JT98.J873.T82.74 KQ43.AT9.Q9.AJ85 A.52.AK753.QT632:54544444334376766666
AKT94.AT9873..T6 Q8.J2.J9542.Q832 J73.KQ64.876.KJ9 652.5.AKQT3.A754:62621111111188888687
AK94.KQT93.J4.85 QT63..AKQ532.A43 J.A52.T9876.QJT6 8752.J8764..K972:65658787555587778888
T986.AKT4.J54.A8 5.J96.KQ762.KT62 J732.7532.93.J74 AKQ4.Q8.AT8.Q953:A9A998988787BABABABA
84.J8.K42.KQT972 AKJT.95.J965.A85 Q952.742.AT83.J6 763.AKQT63.Q7.43:A9A9A8A8A9A987875555
64.A73.86.A97643 J853.Q.AQJ753.K2 T72.JT85.92.QT85 AKQ9.K9642.KT4.J:BBBBCBCB9999BBBB6666
6.A4.AK652.QJ632 T952.KJ985.J73.A AKJ7.Q732.Q94.K5 Q843.T6.T8.T9874:22225444555522223222
KJT8.J84.A.AQ942 975.KT5.Q97.8763 Q63.Q96.KJT53.JT A42.A732.8642.K5:43433333444444443333
A4.AJT5.KQ963.73 T9852.Q972.J5.K9 J7.K8643.T.JT862 KQ63..A8742.AQ54:8787AAAA545487876666
3.4.KQT986.AK653 AJ86.Q985.7.9842 742.AKJ62.A52.QJ KQT95.T73.J43.T7:50507676434110101010
A3.987.AK83.KQJ8 QJ8752.AK2.JT.53 KT4.QJ65.Q762.T2 96.T43.954.A9764:43436666434333335454
4.AQ9873.Q932.QT KJ.KT62.AJ6.AK63 Q2.J5.KT875.J542 AT987653.4.4.987:CBCBCCCC66655555B9B9
KJ983.753.QT8.T8 Q42.AQT4.K962.J9 A6.862.A754.AK54 T75.KJ9.J3.Q7632:66655555666655557676
K765.A42.KJ6.A64 AJ.Q73.T94.T7532 T9432.J.AQ73.K98 Q8.KT9865.852.QJ:54543232777732325444
J3.J.AKJ872.KJT5 974.KQ98762.64.A AQT8.T3.T5.Q9432 K652.A54.Q93.876:86866566999932333232
QJ532.Q62.974.J9 6.K4.KJ86.AQT542 K84.A93.Q52.8763 AT97.JT875.AT3.K:BACA8888AAAACCCCCCCC
QJ5.KJ872.Q6.AJ3 AK9732.T3.A.KQT7 84.AQ54.JT982.94 T6.96.K7543.8652:7666988855557666A9A9
A.AQ96.KQ.K97542 QJT843.543.AT2.Q 9.J87.J843.AJT86 K7652.KT2.9765.3:21217777212253531111
KQT72.K2.3.Q9763 J853.9.JT9654.A2 4.AQ7653.AK2.J54 A96.JT84.Q87.KT8:64645555545488884343
AQT.KQJ74.JT9.63 K752.65.64.Q9875 J943.T2.AQ75.AK4 86.A983.K832.JT2:33333343434333336666
A54.K62.9842.753 QT62.QJ984.A.J64 KJ8.AT5.Q753.KQ8 973.73.KJT6.AT92:66667777777766667676
9743.KJT86..AJT9 K6.72.AJ654.Q842 AQT85.Q95.K983.6 J2.A43.QT72.K753:53531111222266666666
62.7532.AT98.743 AQT9.K4.KJ3.AQ96 J854.J6.764.T852 K73.AQT98.Q52.KJ:DCDCDCDCDCDCBBBBDCDC
7.K865.T7.JT8742 KQT2.JT.AJ65.653 A965.Q97.KQ32.AK J843.A432.984.Q9:53537777434365652222
J63.KQ5.K73.KQJ9 QT75.T82.J42.AT8 AK9.J763.QT6.753 842.A94.A985.642:43434444333344443333
3.QT98.JT9.AKJ73 Q98.A632.Q8.QT96 KJ742.KJ.AK63.84 AT65.754.7542.52:44434444444343334333
